BROJ_CESTICE,area_used_m2,area_official_m2,area_geometry_m2,google_maps_url,property_description,gml_id,CESTICA_ID,POVRSINA_GRAFICKA,MATICNI_BROJ_KO
9069,695.0,695.0,694.5408500037095,"https://www.google.com/maps?q=45.79327523795523,16.192227211111728",source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=5553035 | SIFRA_NACINA_UPORABE_ZEMLJISTA=303 | NACINA_UPORABE_ZEMLJISTA=KANAL || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=5553039 | SIFRA_NACINA_UPORABE_ZEMLJISTA=523 | NACINA_UPORABE_ZEMLJISTA=PUT || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=694.54 | NACIN_UPORABE_ID=5554628 | SIFRA_NACINA_UPORABE_ZEMLJISTA=201 | NACINA_UPORABE_ZEMLJISTA=ŠUMA || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=5553470 | SIFRA_NACINA_UPORABE_ZEMLJISTA=201 | NACINA_UPORABE_ZEMLJISTA=ŠUMA || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=5555036 | SIFRA_NACINA_UPORABE_ZEMLJISTA=523 | NACINA_UPORABE_ZEMLJISTA=PUT,CESTICE.37454295,37454295,695.0,325392
4755,695.0,695.0,695.3059000019302,"https://www.google.com/maps?q=45.816261307961796,16.16449059353282",source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=6815570 | SIFRA_NACINA_UPORABE_ZEMLJISTA=523 | NACINA_UPORABE_ZEMLJISTA=PUT || source=nacini_uporabe_zgrada.gml::ZGRADE | intersect_area_m2=7.79 | ZGRADA_ID=11844902 | BROJ_ZGRADE=9694 | SIFRA_NACINA_UPORABE_ZGRADE=408 | NACIN_UPORABE_ZGRADE=STEPENIŠTE || source=nacini_uporabe_zgrada.gml::ZGRADE | intersect_area_m2=99.17 | ZGRADA_ID=11848095 | BROJ_ZGRADE=964 | SIFRA_NACINA_UPORABE_ZGRADE=101 | NACIN_UPORABE_ZGRADE=KUĆA || source=nacini_uporabe_zgrada.gml::ZGRADE | intersect_area_m2=73.74 | ZGRADA_ID=11846713 | BROJ_ZGRADE=5809 | SIFRA_NACINA_UPORABE_ZGRADE=601 | NACIN_UPORABE_ZGRADE=GOSPODARSKA ZGRADA,CESTICE.37455900,37455900,695.0,325392
9947/2,695.0,695.0,695.2921999975852,"https://www.google.com/maps?q=45.821307418324466,16.153627310884495",source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=5557360 | SIFRA_NACINA_UPORABE_ZEMLJISTA=502 | NACINA_UPORABE_ZEMLJISTA=DVORIŠTE || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=695.29 | NACIN_UPORABE_ID=5554267 | SIFRA_NACINA_UPORABE_ZEMLJISTA=520 | NACINA_UPORABE_ZEMLJISTA=ULICA || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=7342160 | SIFRA_NACINA_UPORABE_ZEMLJISTA=520 | NACINA_UPORABE_ZEMLJISTA=ULICA,CESTICE.37460689,37460689,695.0,325392
1637,695.16,695.16,695.1593999940524,"https://www.google.com/maps?q=45.82638135288976,16.15522013737446",source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=7774138 | SIFRA_NACINA_UPORABE_ZEMLJISTA=502 | NACINA_UPORABE_ZEMLJISTA=DVORIŠTE || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=431.44 | NACIN_UPORABE_ID=6895488 | SIFRA_NACINA_UPORABE_ZEMLJISTA=502 | NACINA_UPORABE_ZEMLJISTA=DVORIŠTE || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=5558119 | SIFRA_NACINA_UPORABE_ZEMLJISTA=523 | NACINA_UPORABE_ZEMLJISTA=PUT || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=7067717 | SIFRA_NACINA_UPORABE_ZEMLJISTA=547 | NACINA_UPORABE_ZEMLJISTA=NERAZVRSTANA CESTA || source=nacini_uporabe_zgrada.gml::ZGRADE | intersect_area_m2=96.01 | ZGRADA_ID=11842262 | BROJ_ZGRADE=16624 | SIFRA_NACINA_UPORABE_ZGRADE=101 | NACIN_UPORABE_ZGRADE=KUĆA || source=nacini_uporabe_zgrada.gml::ZGRADE | intersect_area_m2=38.37 | ZGRADA_ID=11842263 | BROJ_ZGRADE=16625 | SIFRA_NACINA_UPORABE_ZGRADE=406 | NACIN_UPORABE_ZGRADE=POMOĆNA ZGRADA || source=nacini_uporabe_zgrada.gml::ZGRADE | intersect_area_m2=0.0 | ZGRADA_ID=11851920 | BROJ_ZGRADE=6822 | SIFRA_NACINA_UPORABE_ZGRADE=401 | NACIN_UPORABE_ZGRADE=GARAŽA || source=nacini_uporabe_zgrada.gml::ZGRADE | intersect_area_m2=129.34 | ZGRADA_ID=11852920 | BROJ_ZGRADE=11922 | SIFRA_NACINA_UPORABE_ZGRADE=101 | NACIN_UPORABE_ZGRADE=KUĆA,CESTICE.37460745,37460745,695.16,325392
3042,695.46,695.46,695.4553999936809,"https://www.google.com/maps?q=45.81731300261685,16.181505709022098",source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=7896143 | SIFRA_NACINA_UPORABE_ZEMLJISTA=547 | NACINA_UPORABE_ZEMLJISTA=NERAZVRSTANA CESTA || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=5556639 | SIFRA_NACINA_UPORABE_ZEMLJISTA=502 | NACINA_UPORABE_ZEMLJISTA=DVORIŠTE || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=6537814 | SIFRA_NACINA_UPORABE_ZEMLJISTA=502 | NACINA_UPORABE_ZEMLJISTA=DVORIŠTE || source=nacini_uporabe_zgrada.gml::ZGRADE | intersect_area_m2=0.0 | ZGRADA_ID=11852254 | BROJ_ZGRADE=5135 | SIFRA_NACINA_UPORABE_ZGRADE=101 | NACIN_UPORABE_ZGRADE=KUĆA || source=nacini_uporabe_zgrada.gml::ZGRADE | intersect_area_m2=79.62 | ZGRADA_ID=11843035 | BROJ_ZGRADE=2674 | SIFRA_NACINA_UPORABE_ZGRADE=101 | NACIN_UPORABE_ZGRADE=KUĆA,CESTICE.37456528,37456528,695.46,325392
2803,695.48,695.48,695.4802000093064,"https://www.google.com/maps?q=45.81775199983679,16.17501447502948",source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=5556270 | SIFRA_NACINA_UPORABE_ZEMLJISTA=523 | NACINA_UPORABE_ZEMLJISTA=PUT || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=6580891 | SIFRA_NACINA_UPORABE_ZEMLJISTA=502 | NACINA_UPORABE_ZEMLJISTA=DVORIŠTE || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=695.48 | NACIN_UPORABE_ID=5551398 | SIFRA_NACINA_UPORABE_ZEMLJISTA=101 | NACINA_UPORABE_ZEMLJISTA=ORANICA || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=6909294 | SIFRA_NACINA_UPORABE_ZEMLJISTA=520 | NACINA_UPORABE_ZEMLJISTA=ULICA,CESTICE.37454431,37454431,695.48,325392
2940,695.55,695.55,695.5530999982456,"https://www.google.com/maps?q=45.81715088191765,16.172835104600043",source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=7937295 | SIFRA_NACINA_UPORABE_ZEMLJISTA=547 | NACINA_UPORABE_ZEMLJISTA=NERAZVRSTANA CESTA || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=5557436 | SIFRA_NACINA_UPORABE_ZEMLJISTA=502 | NACINA_UPORABE_ZEMLJISTA=DVORIŠTE || source=nacini_uporabe_zgrada.gml::ZGRADE | intersect_area_m2=84.21 | ZGRADA_ID=11852164 | BROJ_ZGRADE=4544 | SIFRA_NACINA_UPORABE_ZGRADE=601 | NACIN_UPORABE_ZGRADE=GOSPODARSKA ZGRADA || source=nacini_uporabe_zgrada.gml::ZGRADE | intersect_area_m2=161.31 | ZGRADA_ID=11845225 | BROJ_ZGRADE=3922 | SIFRA_NACINA_UPORABE_ZGRADE=101 | NACIN_UPORABE_ZGRADE=KUĆA,CESTICE.37456089,37456089,695.55,325392
5091,695.63,695.63,695.6284999928623,"https://www.google.com/maps?q=45.8218145505187,16.159890566340668",source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=7946013 | SIFRA_NACINA_UPORABE_ZEMLJISTA=547 | NACINA_UPORABE_ZEMLJISTA=NERAZVRSTANA CESTA || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=7180274 | SIFRA_NACINA_UPORABE_ZEMLJISTA=101 | NACINA_UPORABE_ZEMLJISTA=ORANICA || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=7180269 | SIFRA_NACINA_UPORABE_ZEMLJISTA=502 | NACINA_UPORABE_ZEMLJISTA=DVORIŠTE || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=5553628 | SIFRA_NACINA_UPORABE_ZEMLJISTA=103 | NACINA_UPORABE_ZEMLJISTA=VOĆNJAK || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=7180270 | SIFRA_NACINA_UPORABE_ZEMLJISTA=502 | NACINA_UPORABE_ZEMLJISTA=DVORIŠTE || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=497.49 | NACIN_UPORABE_ID=7180272 | SIFRA_NACINA_UPORABE_ZEMLJISTA=502 | NACINA_UPORABE_ZEMLJISTA=DVORIŠTE || source=nacini_uporabe_zgrada.gml::ZGRADE | intersect_area_m2=198.14 | ZGRADA_ID=11846307 | BROJ_ZGRADE=855 | SIFRA_NACINA_UPORABE_ZGRADE=103 | NACIN_UPORABE_ZGRADE=ZGRADA MJEŠOVITE UPORABE,CESTICE.37455804,37455804,695.63,325392
8157,695.85,695.85,695.8473999918597,"https://www.google.com/maps?q=45.79800811293772,16.151079148012673",source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=7699197 | SIFRA_NACINA_UPORABE_ZEMLJISTA=523 | NACINA_UPORABE_ZEMLJISTA=PUT || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=7699193 | SIFRA_NACINA_UPORABE_ZEMLJISTA=502 | NACINA_UPORABE_ZEMLJISTA=DVORIŠTE || source=nacini_uporabe_zgrada.gml::ZGRADE | intersect_area_m2=118.38 | ZGRADA_ID=11851844 | BROJ_ZGRADE=6899 | SIFRA_NACINA_UPORABE_ZGRADE=101 | NACIN_UPORABE_ZGRADE=KUĆA || source=nacini_uporabe_zgrada.gml::ZGRADE | intersect_area_m2=17.39 | ZGRADA_ID=11851845 | BROJ_ZGRADE=6900 | SIFRA_NACINA_UPORABE_ZGRADE=406 | NACIN_UPORABE_ZGRADE=POMOĆNA ZGRADA || source=nacini_uporabe_zgrada.gml::ZGRADE | intersect_area_m2=0.0 | ZGRADA_ID=11849573 | BROJ_ZGRADE=7201 | SIFRA_NACINA_UPORABE_ZGRADE=601 | NACIN_UPORABE_ZGRADE=GOSPODARSKA ZGRADA,CESTICE.37452693,37452693,695.85,325392
7120/2,695.91,695.91,695.9126000142387,"https://www.google.com/maps?q=45.81405136666616,16.12977403016554",source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=7136886 | SIFRA_NACINA_UPORABE_ZEMLJISTA=106 | NACINA_UPORABE_ZEMLJISTA=LIVADA || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=695.91 | NACIN_UPORABE_ID=7136887 | SIFRA_NACINA_UPORABE_ZEMLJISTA=106 | NACINA_UPORABE_ZEMLJISTA=LIVADA || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=7136885 | SIFRA_NACINA_UPORABE_ZEMLJISTA=106 | NACINA_UPORABE_ZEMLJISTA=LIVADA || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=7136888 | SIFRA_NACINA_UPORABE_ZEMLJISTA=106 | NACINA_UPORABE_ZEMLJISTA=LIVADA || source=nacini_uporabe_zemljista.gml::NACINI_UPORABE | intersect_area_m2=0.0 | NACIN_UPORABE_ID=7162468 | SIFRA_NACINA_UPORABE_ZEMLJISTA=523 | NACINA_UPORABE_ZEMLJISTA=PUT,CESTICE.37452203,37452203,695.91,325392
